"id","a39","a38","a37","a36","a35","a34","a33","a32","a31","a30","a29","a28","a27","a26","a25","a24","a23","a22","a21","a20","a19","a18","a16","a15","a14","a13","a12","a11","a10","a9","a8","a7","a6","a5","a4","a3","a2","a1","a17","label","degree","betweenness","clustering.coefficient","bonacich","label"
11,"100","106.6","40","38","1","3","0","0","35.9","48.5","1750","15.5","30","0.75","68","16","0.2","43","65","1910","NorthUS","CATALOG","815","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37000","CHILDCRAFT","I337","19910114",4,0,7998,0,0.999689987795456,92,0.807914421284458
12,"100","105","40","38","1","2.5","0","0","36.8","52.6","1700","10.5","40","0.75","80","14","0.367","50","50","1911","NorthUS","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35539","HANOVRHOUSE","X352","19910111",1,1,8163,0,0.99839585695626,142,0.612204392356895
13,"100","106.66","40","38","1","2.8","0","0","40","50","1600","10","30","1","70","15","0.3","50","50","1911","NorthUS","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35539","HANOVRHOUS","X67","19910117",3,1,7802,0,0.999137100486102,-509,0.596217668319879
14,"100","100","40","40","1","2","0","0","40.5","59.5","1500","0","25","0.625","70","14.5","0.3","45","40","1911","NorthUS","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","23052","GUIDEPOSTS","X817","19910125",3,1,8130,0,0.99912550240744,775,0.583834262607047
15,"100","103.22","40","38","1","2.5","0","0","34.7","49.5","1600","15.8","20","1","75","16","0.267","43","50","1911","NorthUS","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35539","HANOVRHOUS","X273","19910117",1,0,8228,0,0.998401088459426,-643,0.736024066857629
16,"100","103.22","40","40","1","2.5","0","0","37.5","62.5","1400","0","?","1","87","15","0.233","45","?","1911","NorthUS","CATALOG","813","Motter70","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","?","47201","MODMAT","F108","19910103",4,1,7683,0,0.999026480033405,129,0.605599115740857
17,"100","100","40","33","0.8","2.5","0","0","37.5","62.5","1600","0","?","?","65","14","0.2","45","30","1911","CANADIAN","CATALOG","813","Motter70","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","38064","HOMESHOP","F237","19910129",2,0,7633,0,0.999587696371801,-11,0.77491707192265
18,"100","100","40","33","1.8","2.5","0","0","35.3","58.8","1600","5.9","?","?","65","15.5","0.2","45","30","1911","CANADIAN","CATALOG","813","Motter70","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","38064","HOMESHOP","F267","19910129",1,0,7620,170.842647886536,0.998389162393662,170,0.70403477499613
19,"100","103.22","40","32","1","2.5","0","0","34.1","54.9","1400","11","?","0.75","64","16.4","0.267","38","60","1910","CANADIAN","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35521","USCAV","S21","19910123",2,0,7626,13.2829807642742,0.999618574307927,-161,0.776935187266539
20,"100","103.22","40","32","1.4","1.1","0","0","37.1","56.2","1400","6.7","?","0.75","66","16.5","0.333","38","60","1911","CANADIAN","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35521","USCAV","F492","19910123",1,0,7309,29.6644798717976,0.998359457714851,335,0.682419030395642
21,"100","107.4","40","30","1","1.7","0","0","41.2","58.8","2400","0","30","0.8125","70","16","0.233","45","50","1911","CANADIAN","TABLOID","824","Motter94","NO","NAPTHA","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37571","COLORTIL","X799","19910130",1,0,7783,0,0.998413363219442,-256,0.71057538525775
22,"100","107.4","40","30","1","1","0","0","37.5","62.5","2400","0","30","0.8125","76","15","0.2","45","40","1911","CANADIAN","TABLOID","824","Motter94","YES","NAPTHA","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35751","COLORTIL","X823","19910130",4,0,7895,5.94386290588224,0.999123721898242,335,0.761299538051172
23,"100","96.875","40","30","1","2","0","4","40.7","58.1","2200","1.2","25","0.8125","70","16.3","0.2","43","30","1911","CANADIAN","TABLOID","824","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37340","WARDS","X163","19910117",1,0,7732,0,0.998401698072824,-409,0.707025881786986
24,"100","107.4","40","30","1","2.5","0","0","37.5","62.5","2000","0","30","1","72","15.8","0.2","41","40","1911","CANADIAN","SPIEGEL","827","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35816","TARGET","O4","19910127",1,1,8418,0,0.99844224607487,2,0.599733247371466
25,"100","107.4","40","35","0.7","2.3","0","0","34.5","57.5","2100","8","25","1","74","14.5","0.2","42","40","1911","SCANDANAVIAN","TABLOID","827","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37352","KMART","E84","19910131",4,1,7562,0,0.999140684836824,103,0.605821560042207
26,"100","107.4","40","35","0.7","2","0","0","34.5","57.5","1850","8","20","1","70","14","0.2","42","45","1911","SCANDANAVIAN","TABLOID","827","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37352","KMART","E81","19910201",4,1,7587,0,0.999151601031504,27,0.604336863461206
27,"100","107.4","40","35","1","2.5","0","0","34.5","57.5","2150","8","30","1","76","15","0.3","45","50","1911","SCANDANAVIAN","TABLOID","827","Motter94","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37352","KMART","E72","19910130",4,0,8170,66.0600642055206,0.999146164451502,60,0.782942561388355
28,"100","107.4","40","35","1","2.5","0","0","35.3","58.8","2150","5.9","25","1","72","15.2","0.3","45","50","1911","SCANDANAVIAN","TABLOID","827","Motter94","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37352","KMART","E310","19910130",1,0,8219,0,0.998425296741046,-63,0.736970191285464
29,"100","107.4","40","30","0.8","2","0","0","41.2","58.8","2100","0","30","0.75","75","15","?","42","35","1911","CANADIAN","TABLOID","828","Motter94","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37080","WOOLWORTH","X29","19910201",1,1,8103,0,0.998455873211255,-21,0.612172576013788
30,"100","106.45","40","33","1","2.5","0","0","41.2","58.8","2200","0","35","0.75","70","17","0.233","45","30","1910","CANADIAN","TABLOID","828","Motter94","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37157","AMES","X292","19910118",1,1,8456,0,0.998442664242097,103,0.598182684943025
31,"100","107.4","40","35","0.8","2.4","0","0","35","45","2050","20","28","0.75","90","16","0.2","44","37.5","1911","NorthUS","TABLOID","815","WoodHoe70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37352","KMART","J9","19910206",1,0,8016,24.2483599837737,0.998430550772296,-11,0.725686409423149
32,"100","107.4","40","35","0.8","2.7","0","0","34.8","43.5","2050","21.7","30","0.75","91","16.5","0.2","44","37.5","1911","NorthUS","TABLOID","815","WoodHoe70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37352","KMART","J582","19910206",4,0,7911,2.5771197928012,0.999605245224632,-152,0.795500631779147
33,"100","114.28","40","34","0.7","2.5","0","0","38","54.3","1510","7.6","22","0.625","78","14.1","0.267","44","45","1911","?","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","25507","TVGUIDE","X141","19910206",1,0,7917,0,0.998382101126647,122,0.71643666029583
34,"100","110","40","34","0.9","2.5","0","2","38.3","53.2","1510","8.5","20","0.625","69","14","0.2","44","40","1910","?","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","25507","TVGUIDE","X818","19910206",3,0,7755,24.2483599837737,0.998418400242108,-346,0.709849963278883
35,"100","100","40","30","1","2.5","0","4","41.2","58.8","2400","0","35","0.75","78","17","0.333","47","40","1911","?","TABLOID","828","Motter94","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37080","WOOLWRTH","V376","19910208",1,1,8209,0,0.998406427987202,268,0.609823200712614
36,"100","107.4","40","34","1.3","1","0","0","37","63","1425","0","?","0.875","64","15.4","0.2","42","30","1911","?","CATALOG","813","Motter70","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","27490","ABBYPRESS","M254","19910211",1,0,7549,0,0.998361478046583,-248,0.694666155462141
37,"100","103.22","40","30","1.5","2.5","0","0","34.9","58.1","1600","7","30","0.625","80","15","?","38","45","1910","CANADIAN","SPIEGEL","815","WoodHoe70","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35811","TARGET","R5","19910215",1,1,8082,24.2483599837737,0.998443367358417,171,0.613166689478179
38,"100","103.12","40","40","0.8","3","0","2","41.2","58.8","1500","0","28","1","96","16","0.267","43","40","1911","?","TABLOID","816","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35334","BELKS","J33","19910113",1,0,7995,0,0.998367486172364,309,0.720104656382818
39,"100","103.12","40","40","1","2.5","0","4","38","54.3","1500","7.6","31","1","82","15","0.2","43","32.5","1911","NorthUS","TABLOID","816","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35334","BELKS","J43","19910213",4,0,7791,0,0.999612072087188,-436,0.787456124362493
40,"100","103.12","40","28","1","2.8","0","0","37.5","62.5","1400","0","34","0.75","85","15","0.3","44","37.5","1911","NorthUS","CATALOG","815","WoodHoe70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37869","SEARS","I357","19910212",4,0,8075,8.27395863285878,0.999607266605554,327,0.807673124943757
41,"100","103.12","40","28","1","3","0","0","34.9","58.1","1400","7","32","1","80","16","0.3","44","35","1910","NorthUS","CATALOG","815","WoodHoe70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37869","SEARS","I353","19910212",1,0,8076,73.5098409019017,0.998405454306537,-341,0.728967869772593
42,"100","107.4","40","34","1.3","1","0","0","38.3","61.7","1425","0","?","0.875","64","15.4","0.2","42","30","1911","NorthUS","CATALOG","813","Motter70","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","27490","ABBYPRESS","M254","19910211",1,0,7587,182.248957628566,0.998391937385328,601,0.702619613974029
43,"100","103.22","40","30","1","2","0","12","44.4","55.6","2270","0","30","0.875","82","16","0.2","43","50","1910","CANADIAN","TABLOID","824","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35752","ROSES","X291","19910214",4,0,8093,0.140178105749297,0.999204084915097,-83,0.77979257549952
44,"100","103.22","40","30","1.5","1.5","0","12","44.4","55.6","2270","0","30","0.8125","80","16.3","0.3","43","50","1910","CANADIAN","TABLOID","824","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35752","ROSES","X129","19910214",1,0,8017,47.5202247689448,0.998411770164652,37,0.725194867600987
45,"100","103.12","40","33","1.7","1.4","0","0","40.7","58.1","1480","1.2","24","0.75","57","15.8","0.267","43","60","1911","NorthUS","TABLOID","827","Motter94","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","35794","JCPENNY","X297","19910214",1,0,7814,0,0.998419657785631,-249,0.712704350552356
46,"100","103.12","40","33","0.7","1.7","0","0","36","56.2","1480","7.9","20","0.75","58","16.6","0.233","43","52.5","1911","NorthUS","TABLOID","827","Motter94","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","35794","JCPENNY","X146","19910214",4,0,7744,87.543697438896,0.999137118267842,342,0.754617693260824
47,"100","103.22","40","30","0.7","1.3","0","0","41.2","58.8","2300","0","35","0.8125","87","17","0.3","43","50","1910","?","TABLOID","824","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35752","ROSES","X129","19910213",1,0,8329,0,0.998377486534185,-614,0.740753025708708
48,"100","103.12","40","30","0.85","2.5","0","0","42.5","57.5","1600","0","25","0.625","75","13","0.2","38","25","1911","CANADIAN","TABLOID","821","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37441","CENPURCH","E303","19910215",1,0,8271,0,0.998431607945054,423,0.740554782087955
49,"100","103.12","40","30","0.9","1.7","0","5","41.2","58.8","1600","0","25","0.625","70","14","0.233","38","25","1911","CANADIAN","TABLOID","821","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37441","CENPURCH","E68","19910215",3,0,7744,9.11492469948352,0.999137838336047,-838,0.752574158587813
50,"100","103.22","40","35","1.3","2.4","0","0","36.6","61","2000","2.4","34","0.5","78","15.9","0.333","46","40","1911","SCANDANAVIAN","TABLOID","816","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37354","KMART","J42","19910221",4,0,7480,0,0.999609386669853,209,0.766165350999335
51,"100","96.97","40","50","1","2.5","0","0","35.4","50.5","1100","14.1","16","0.75","78","17","0.333","41","45","1911","NorthUS","TABLOID","827","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","35335","BELK","X53","19910223",1,1,8004,0,0.998406640835426,173,0.618511836668795
52,"100","96.97","40","50","1","2.5","0","4","35.4","50.5","1300","14.1","20","0.75","72","16.5","0.233","41","47.5","1911","NorthUS","TABLOID","827","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37335","BELK","X821","19910223",1,1,7734,0,0.998400672067967,35,0.630623282752854
53,"100","103.22","40","33","1","1","0","0","41.2","58.8","1700","0","28","0.75","68","15","0.2","46","40","1910","CANADIAN","TABLOID","824","Motter94","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","NO","KEY","NO","35870","TOYSRUS","X118","19910220",1,0,8074,24.73409832015,0.998418846449562,407,0.728442775868998
54,"100","103.125","40","33","1","1","0","0","41.2","58.8","1700","0","25","0.875","68","16.5","0.267","46","40","1911","CANADIAN","TABLOID","824","Motter94","NO","LINE","NO","COATED","COATED","GALLATIN","BENTON","NO","KEY","NO","35870","TOYSRUS","X826","19910220",4,0,7521,0,0.999083112514204,-1044,0.735014848309246
55,"100","103.125","40","30","0.9","2.5","0","0","37.5","62.5","2000","0","30","0.625","85","18","0.233","35","40","1911","CANADIAN","SPIEGEL","815","WoodHoe70","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35811","TARGET","R23","19910216",4,0,8167,0,0.999578628531637,1267,0.812067221241768
56,"100","103.22","40","30","0.8","2","0","0","44.4","55.6","2300","0","35","?","84","17","0.2","43","50","1910","CANADIAN","TABLOID","824","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35752","ROSES","X291","19910213",4,0,8138,12.4305109130058,0.999114713570098,174,0.777042759559093
57,"100","103.125","40","28","1","2.0","0","0","36.5","58.8","1400","4.7","46","0.75","62","12","0.4","38","35","1911","NorthUS","CATALOG","802","Albert70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37869","SEARS","I354","19910215",3,0,7504,0,0.999597483452649,-937,0.766955255685264
58,"100","103.125","40","28","1.5","2.8","0","0","37.5","62.5","1400","0","50","0.75","70","16","0.433","38","35","1911","NorthUS","CATALOG","802","Albert70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37869","SEARS","I358","19910215",1,0,7909,24.2483599837737,0.998374834709571,1019,0.716134235331344
59,"100","96.97","40","28","0.8","2.4","0","2","36.8","52.6","1750","10.5","25","0.625","60","14.6","0.2","46","50","1911","NorthUS","TABLOID","821","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","25509","TVGUIDE","X760","19910220",3,1,7231,0,0.999133738000215,-537,0.620106274286663
60,"100","100","40","40","1","2.3","0","16","36.3","54.9","2100","8.8","30","0.875","78","24.5","0.333","47","40","1910","SouthUS","TABLOID","827","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37386","KMART","E26","19910304",1,1,7688,0,0.998429955654573,-63,0.631355814607652
61,"100","100","40","40","1.4","2.7","0","1","41.2","51.5","2000","7.2","16","0.75","76","14.43","0.35","47","40","?","SouthUS","TABLOID","827","Motter94","NO","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37386","KMART","E84","19910303",4,1,6969,83.7976441457839,0.999143045062547,-452,0.629664511035468
62,"100","103.22","40","40","1","2.5","0","0","38.5","52.1","2000","9.4","20","0.75","77","15","0.233","39","40","1910","SouthUS","TABLOID","827","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37386","KMART","E69","19910301",1,0,8426,24.73409832015,0.998418183491596,362,0.750034792128595
63,"100","103.22","40","40","1","2.5","0","0","39.2","49","2000","11.8","20","0.75","79","15","0.2","39","40","1910","SouthUS","TABLOID","827","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37386","KMART","E77","19910301",4,0,8348,198.105604599759,0.999139655470313,-655,0.798878375653188
64,"100","106.45","40","40","1.2","2.5","0","0","37.5","62.5","2000","0","18","0.75","68","14.2","0.267","43","?","1911","SouthUS","TABLOID","827","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","?","37386","KMART","E83","19910309",1,1,8024,0,0.998372461465326,217,0.619140749334407
65,"100","109.67","40","40","?","?","0","0","37.5","62.5","2000","0","30","0.75","80","14","0.233","48","?","1910","SouthUS","TABLOID","827","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","?","37386","KMART","E67","19910306",1,1,8083,0,0.998374012477687,-519,0.616539923038885
66,"100","106.45","40","40","1","2.5","0","0","37.5","62.5","2000","0","26","1","72","16.4","0.267","40","?","1911","SouthUS","TABLOID","827","Motter94","NO","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","?","27386","KMART","E83","19910311",1,1,7858,0,0.998365939772332,1182,0.626673943867968
67,"100","106.45","40","40","1.4","1.8","0","4","37.5","62.5","1900","0","30","0.5625","85","18.5","0.35","40","40","1911","SouthUS","TABLOID","824","Motter94","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","37386","KMART","X791","19910311",4,1,7428,0,0.999110168897751,-1644,0.612706461274888
68,"100","96.97","40","35","0.7","2.5","0","4","40","57.5","1750","2.3","20","0.625","70","14","0.3","41","42.5","1911","?","TABLOID","821","Motter94","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37254","KMART","E90","19910227",3,0,7690,24.2483599837737,0.998425297533601,2993,0.706576632421673
69,"100","94.117","40","30","0.9","2","0","4","37.5","62.5","2100","0","30","1","84","16.2","0.2","39","35","1910","CANADIAN","TABLOID","828","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","35457","ECKERD","X271","19910302",4,0,7908,107.599804327032,0.999227145695046,-2747,0.771882612639442
70,"100","109.67","40","40","1","2.6","0","0","40.5","59.5","1500","0","?","1","65","14.1","0.3","45","35","1910","NorthUS","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","COATED","GALLATIN","BENTON","YES","KEY","NO","47202","MODMAT","F308","19910307",4,0,7864,7.4476156419904,0.99967853699458,1983,0.797586472262405
71,"100","109.67","40","40","1.3","3","0.5","0","39.4","53.2","1800","7.4","56","0.75","68","14.02","0.333","43","50","1910","NorthUS","CATALOG","802","Albert70","YES","XYLOL","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","47202","MODMAT","T281","19910308",1,0,6970,24.2483599837737,0.99836005355579,-2712,0.665028600041048
72,"100","109.67","40","40","1","2.5","0","6","40.2","43.5","1683","16.3","34","0.5","80","15.5","0.2","45","67.5","1910","NorthUS","CATALOG","816","WoodHoe70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","47202","MODMAT","F067","19910307",1,0,7953,24.2483599837737,0.998378693749713,1826,0.718908610948137
73,"100","109.67","40","33","0.75","0.8","0","0","38.9","55.6","1850","5.6","20","0.625","75","16","0.267","37","55","1910","CANADIAN","TABLOID","821","Motter94","YES","LINE","NO","COATED","COATED","GALLATIN","BENTON","YES","KEY","NO","37163","AMES","X405","19910310",1,0,7965,146.772467884544,0.998442862849643,-654,0.726432207300811
74,"100","96.97","40","35","0.9","2.1","0","0","39.4","53.2","1750","7.4","20","0.625","80","14","0.2","41","42.5","1911","?","TABLOID","821","Motter94","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37354","KMART","E91","19910227",1,0,8009,0,0.998406477314135,-1459,0.72323719418583
75,"100","109.67","40","40","1","2.5","0","0","36.1","51.5","1600","12.4","?","0.75","72","15.3","0.2","45","52.5","1910","NorthUS","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","47202","MODMAT","F615","19910307",1,0,8187,24.2483599837737,0.998345039071627,-127,0.730722953577683
76,"100","109.67","40","40","0.9","2.3","0","0","40.5","59.5","1500","0","?","1","63","15.2","0.2","45","35","1910","NorthUS","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","COATED","GALLATIN","BENTON","YES","KEY","NO","47202","MODMAT","F510","19910307",4,0,7762,14.7530918457517,0.999686811369589,596,0.791157269117398
77,"100","109.67","40","40","0.8","2.3","0","4","41.2","58.8","1600","0","?","0.75","68","16","0.233","45","52.5","1910","NorthUS","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","47202","MODMAT","F670","19910307",2,0,7628,1.36695165032943,0.999687913343612,348,0.781526503138432
78,"100","103.22","40","35","0.2","0.7","0","2","34.1","56.8","1900","9.1","23","0.75","74","14.5","0.35","43","49","1910","?","TABLOID","816","WoodHoe70","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37355","KMART","E310","19910317",4,1,7457,0,0.998876333357096,2106,0.621605286732547
79,"100","109.67","40","40","1","2.3","0","0","37.2","53.2","1600","9.6","?","0.75","73","14","0.233","37","52.5","1910","NorthUS","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","47202","MODMAT","F670","19910314",2,0,7640,0,0.999694752676409,-3117,0.782789504448177
80,"100","109.67","40","40","1.5","2.5","0","0","38.5","54.9","1650","6.6","31","0.5","76","15.1","0.267","43","52.5","1910","NorthUS","CATALOG","813","Motter70","YES","LINE","NO","UNCOATED","UNCOATED","GALLATIN","BENTON","YES","KEY","YES","47202","MODMAT","M402","19910309",4,0,7652,1.25687919942212,0.999612326130825,3983,0.777931748561511
81,"100","103.22","40","35","1","2","0","0","38.9","55.6","1800","5.6","30","0.9375","78","16.1","0.2","44","40","1910","SCANDANAVIAN","TABLOID","828","Motter94","YES","LINE","NO","COATED","UNCOATED","GALLATIN","BENTON","YES","KEY","NO","37355","KMART","X18","19910316",4,0,8090,133.793050749912,0.99924246086278,-1708,0.78610911511585
