"a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","label","degree","betweenness","clustering.coefficient","bonacich","weight"
"R5","TARGET",35811,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","WOODHOE70",815,2,"SPIEGEL","CANADIAN",1910,45,38,NA,15,80,0.625,30,7,1600,58.1,34.9,0,0,2.5,1.5,30,40,103.22,100,1,9650,2,1,-1075,0.598988830735361
"J33","BELKS",35334,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,2,"TABLOID",NA,1911,40,43,0.267,16,96,1,28,0,1500,58.8,41.2,2,0,3,0.8,40,40,103.12,100,0,9890,0,1,426,0.781488477705435
"J43","BELKS",35334,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,9,"TABLOID","NORTHUS",1911,32.5,43,0.2,15,82,1,31,7.6,1500,54.3,38,4,0,2.5,1,40,40,103.12,100,0,9862,0,1,-461,0.778647254015745
"I357","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"CATALOG","NORTHUS",1911,37.5,44,0.3,15,85,0.75,34,0,1400,62.5,37.5,0,0,2.8,1,28,40,103.12,100,0,10724,28.5,1,1162,0.771784657827573
"I353","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,2,"CATALOG","NORTHUS",1910,35,44,0.3,16,80,1,32,7,1400,58.1,34.9,0,0,3,1,28,40,103.12,100,0,9998,0,1,-2841,0.792644486240051
"M254","ABBYPRESS",27490,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","NORTHUS",1911,30,42,0.2,15.4,64,0.875,NA,0,1425,61.7,38.3,0,0,1,1.3,34,40,107.4,100,0,9115,0,1,1930,0.709800752834691
"X291","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1910,50,43,0.2,16,82,0.875,30,0,2270,55.6,44.4,12,0,2,1,30,40,103.22,100,0,9987,3.83333333333333,1,-115,0.778631850220811
"X129","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,2,"TABLOID","CANADIAN",1910,50,43,0.3,16.3,80,0.8125,30,0,2270,55.6,44.4,12,0,1.5,1.5,30,40,103.22,100,0,9432,1,1,234,0.73452262203616
"X297","JCPENNY",35794,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","NORTHUS",1911,60,43,0.267,15.8,57,0.75,24,1.2,1480,58.1,40.7,0,0,1.4,1.7,33,40,103.12,100,0,9889,1,1,256,0.778076596132697
"X146","JCPENNY",35794,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","NORTHUS",1911,52.5,43,0.233,16.6,58,0.75,20,7.9,1480,56.2,36,0,0,1.7,0.7,33,40,103.12,100,0,9404,0,1,-1187,0.734941077408658
"X129","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,2,"TABLOID",NA,1910,50,43,0.3,17,87,0.8125,35,0,2300,58.8,41.2,0,0,1.3,0.7,30,40,103.22,100,0,9903,75,1,934,0.593201345939657
"E303","CENPURCH",37441,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","CANADIAN",1911,25,38,0.2,13,75,0.625,25,0,1600,57.5,42.5,0,0,2.5,0.85,30,40,103.12,100,0,10516,2.5,1,-243,0.841162871304907
"E68","CENPURCH",37441,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","CANADIAN",1911,25,38,0.233,14,70,0.625,25,0,1600,58.8,41.2,5,0,1.7,0.9,30,40,103.12,100,0,9963,7,1,-69,0.765962684006845
"J42","KMART",37354,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,9,"TABLOID","SCANDANAVIAN",1911,40,46,0.333,15.9,78,0.5,34,2.4,2000,61,36.6,0,0,2.4,1.3,35,40,103.22,100,0,10118,13,1,914,0.761982887119764
"X53","BELK",35335,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","NORTHUS",1911,45,41,0.333,17,78,0.75,16,14.1,1100,50.5,35.4,0,0,2.5,1,50,40,96.97,100,1,9796,3,1,269,0.592282893737163
"X821","BELK",37335,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","NORTHUS",1911,47.5,41,0.233,16.5,72,0.75,20,14.1,1300,50.5,35.4,4,0,2.5,1,50,40,96.97,100,1,9806,11.5,1,-756,0.608356535988506
"X118","TOYSRUS",35870,"NO","KEY","NO","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",824,2,"TABLOID","CANADIAN",1910,40,46,0.2,15,68,0.75,28,0,1700,58.8,41.2,0,0,1,1,33,40,103.22,100,0,9802,1,1,-833,0.769391531257277
"X826","TOYSRUS",35870,"NO","KEY","NO","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",824,9,"TABLOID","CANADIAN",1911,40,46,0.267,16.5,68,0.875,25,0,1700,58.8,41.2,0,0,1,1,33,40,103.125,100,0,9315,5.83333333333333,1,1851,0.71060406803407
"R23","TARGET",35811,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"SPIEGEL","CANADIAN",1911,40,35,0.233,18,85,0.625,30,0,2000,62.5,37.5,0,0,2.5,0.9,30,40,103.125,100,0,10313,7,1,-2567,0.80180780030866
"X291","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1910,50,43,0.2,17,84,NA,35,0,2300,55.6,44.4,0,0,2,0.8,30,40,103.22,100,0,10038,0,1,2529,0.796857600270663
"I354","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","ALBERT70",802,7,"CATALOG","NORTHUS",1911,35,38,0.4,12,62,0.75,46,4.7,1400,58.8,36.5,0,0,2,1,28,40,103.125,100,0,9257,0,1,-1020,0.721934832921858
"I358","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","ALBERT70",802,2,"CATALOG","NORTHUS",1911,35,38,0.433,16,70,0.75,50,0,1400,62.5,37.5,0,0,2.8,1.5,28,40,103.125,100,0,9871,13,1,2372,0.738795569357722
"X760","TVGUIDE",25509,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","NORTHUS",1911,50,46,0.2,14.6,60,0.625,25,10.5,1750,52.6,36.8,2,0,2.4,0.8,28,40,96.97,100,1,10032,10.5,1,-2104,0.59280183579642
"E26","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1910,40,47,0.333,24.5,78,0.875,30,8.8,2100,54.9,36.3,16,0,2.3,1,40,40,100,100,1,9512,28.5,1,814,0.665693727903505
"E84","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","NO","MOTTER94",827,9,"TABLOID","SOUTHUS",NA,40,47,0.35,14.43,76,0.75,16,7.2,2000,51.5,41.2,1,0,2.7,1.4,40,40,100,100,1,8703,0,1,-792,0.656835999463031
"E69","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1910,40,39,0.233,15,77,0.75,20,9.4,2000,52.1,38.5,0,0,2.5,1,40,40,103.22,100,0,10252,0,1,737,0.820180801098944
"E77","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SOUTHUS",1910,40,39,0.2,15,79,0.75,20,11.8,2000,49,39.2,0,0,2.5,1,40,40,103.22,100,0,10067,0,1,-1225,0.799940222542652
"E83","KMART",37386,NA,"KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1911,NA,43,0.267,14.2,68,0.75,18,0,2000,62.5,37.5,0,0,2.5,1.2,40,40,106.45,100,1,9650,7,1,-360,0.608917561773761
"E67","KMART",37386,NA,"KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1910,NA,48,0.233,14,80,0.75,30,0,2000,62.5,37.5,0,0,NA,NA,40,40,109.67,100,1,9519,14,1,1545,0.631990297307109
"E83","KMART",27386,NA,"KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","NO","MOTTER94",827,2,"TABLOID","SOUTHUS",1911,NA,40,0.267,16.4,72,1,26,0,2000,62.5,37.5,0,0,2.5,1,40,40,106.45,100,1,9645,72.5,1,-3892,0.778319549859957
"X791","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","SOUTHUS",1911,40,40,0.35,18.5,85,0.5625,30,0,1900,62.5,37.5,4,0,1.8,1.4,40,40,106.45,100,1,9730,103.833333333333,1,8215,0.886207540772594
"E90","KMART",37254,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID",NA,1911,42.5,41,0.3,14,70,0.625,20,2.3,1750,57.5,40,4,0,2.5,0.7,35,40,96.97,100,0,10173,28,1,-10303,0.722095102340311
"X271","ECKERD",35457,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",828,9,"TABLOID","CANADIAN",1910,35,39,0.2,16.2,84,1,30,0,2100,62.5,37.5,4,0,2,0.9,30,40,94.117,100,0,10041,3,1,6502,0.786929318557246
"F308","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","COATED","UNCOATED","NO","LINE","YES","MOTTER70",813,9,"CATALOG","NORTHUS",1910,35,45,0.3,14.1,65,1,NA,0,1500,59.5,40.5,0,0,2.6,1,40,40,109.67,100,0,9681,3.5,1,-4306,0.749896783041218
"T281","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","XYLOL","YES","ALBERT70",802,2,"CATALOG","NORTHUS",1910,50,43,0.333,14.02,68,0.75,56,7.4,1800,53.2,39.4,0,0.5,3,1.3,40,40,109.67,100,0,8654,0,1,11343,0.673073861778353
"F067","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,2,"CATALOG","NORTHUS",1910,67.5,45,0.2,15.5,80,0.5,34,16.3,1683,43.5,40.2,6,0,2.5,1,40,40,109.67,100,0,10148,16,1,-13134,0.755460588600151
"X405","AMES",37163,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","CANADIAN",1910,55,37,0.267,16,75,0.625,20,5.6,1850,55.6,38.9,0,0,0.8,0.75,33,40,109.67,100,0,9926,0,1,12694,0.78517209068151
"E91","KMART",37354,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID",NA,1911,42.5,41,0.2,14,80,0.625,20,7.4,1750,53.2,39.4,0,0,2.1,0.9,35,40,96.97,100,0,10456,13,1,-5248,0.796177350868448
"F615","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","NORTHUS",1910,52.5,45,0.2,15.3,72,0.75,NA,12.4,1600,51.5,36.1,0,0,2.5,1,40,40,109.67,100,0,9906,0,1,8650,0.783121363058589
"F510","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","COATED","UNCOATED","NO","LINE","YES","MOTTER70",813,10,"CATALOG","NORTHUS",1910,35,45,0.2,15.2,63,1,NA,0,1500,59.5,40.5,0,0,2.3,0.9,40,40,109.67,100,0,9720,2.33333333333333,1,-20006,0.757196250871328
"F670","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,5,"CATALOG","NORTHUS",1910,52.5,45,0.233,16,68,0.75,NA,0,1600,58.8,41.2,4,0,2.3,0.8,40,40,109.67,100,0,9457,0,1,35380,0.739746096679825
"E310","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",816,9,"TABLOID",NA,1910,49,43,0.35,14.5,74,0.75,23,9.1,1900,56.8,34.1,2,0,0.7,0.2,35,40,103.22,100,1,9426,0,1,-42054,0.608637037836443
"F670","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,5,"CATALOG","NORTHUS",1910,52.5,37,0.233,14,73,0.75,NA,9.6,1600,53.2,37.2,0,0,2.3,1,40,40,109.67,100,0,9393,0,1,-13652,0.733951620919568
"M402","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,9,"CATALOG","NORTHUS",1910,52.5,43,0.267,15.1,76,0.5,31,6.6,1650,54.9,38.5,0,0,2.5,1.5,40,40,109.67,100,0,9859,0,1,46068,0.778344062050634
"X18","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",828,9,"TABLOID","SCANDANAVIAN",1910,40,44,0.2,16.1,78,0.9375,30,5.6,1800,55.6,38.9,0,0,2,1,35,40,103.22,100,0,10438,50.8333333333333,1,-17495,0.682602556222585
"F615","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","NORTHUS",NA,52.5,37,0.2,15,66,0.75,NA,13.3,1600,55.6,42.2,0,0,2.4,0.8,40,40,100,100,0,9109,0,1,-74157,0.70929702041585
"F310","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID",NA,1910,40,43,0.35,16.5,72,0.625,20,9.1,2000,56.8,34.1,4,0,2.5,0.5,35,40,103.22,100,0,9817,2,1,180214,0.767653318397355
"F72","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID",NA,1910,40,43,0.35,16.1,70,0.625,20,11.1,2000,55.6,33.3,4,0,1.8,0.9,35,40,103.22,100,0,9856,0.5,1,-414499,0.776396723939532
"X308","ROSES",35753,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1910,40,43,0.267,16,80,0.5625,30,5.6,1900,55.6,38.9,0,0,2.2,1.3,30,40,103.22,100,0,10406,15.5,1,774558,0.782503040186433
