"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","label","degree","betweenness","clustering.coefficient","bonacich","weight"
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,3784,638.898863636363,0.894458576713466,30,0.570281916466639
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,3622,1162.78262301209,0.886540136927179,21,0.668153098055333
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,3907,3144.91953131578,0.882321253690017,4,0.603644867363708
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,3372,720.888514016513,0.88097937344525,-9,0.601475509393168
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,4227,2509.24589353048,0.902894486996687,-29,0.999355518728615
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,3334,419.514932655064,0.893910430121215,5,0.565710903381711
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,3659,500.83417358785,0.898282075977807,9,0.900012847289477
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,3629,465.491666712431,0.892610484506989,12,0.587013563284212
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,3285,272.931301868066,0.896811430756617,-20,0.882705351024384
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6,2744,178.946783975828,0.883459405965989,21,0.682834230129428
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,2836,75.3981893106893,0.888457744005108,23,0.726291331546373
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,3538,1130.85399212501,0.882611552136208,-27,0.724913796927034
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,3444,555.676148851149,0.882876066460724,20,0.716863649699313
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,2638,524.682582153829,0.864899247041132,17,0.53808636701457
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4,2091,267.613780663781,0.86624144339723,14,0.327018319867098
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,2600,66.5471472971473,0.872965444488795,0,0.534147136574447
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,2600,111.547147297147,0.872965444488795,0,0.534147136574447
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,3421,304.53972179781,0.893553961200182,-5,0.44437696169238
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,2391,53.8730158730159,0.879618011989405,22,0.733779171783635
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,3183,613.262063345152,0.879147862857965,-21,0.584942224186027
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5,3400,2590.28590244465,0.878436807095344,-3,0.571869060885621
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,1459,19.5178571428571,0.880657876019338,58,0.394332501887079
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,3209,575.676926260014,0.888890324493634,-23,0.719775523914088
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,3201,1033.03627067377,0.872738552073834,3,0.520082252287063
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5,3273,765.910124311963,0.875368267114691,10,0.54318499077237
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,2904,463.234430846931,0.872884003808135,3,0.527245122458919
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,3164,1361.45188047247,0.87212149051289,32,0.515325915025029
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,2970,351.529935750524,0.880149224425682,-8,0.746925137682423
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,3330,954.658030806482,0.87112587794406,-5,0.985561075183272
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,4129,2813.18323087602,0.889630390898252,-25,0.69887432313914
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,2981,60.7604649736229,0.891487254033379,2,0.58380479628015
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,3946,699.426528047117,0.90704226354025,-34,0.863597338660905
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,2087,71.7615111195993,0.866681699033231,33,0.489454823242204
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,2406,57.8469548425431,0.896053129875664,14,0.913345839929499
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,3896,696.964625652126,0.900699546490101,-13,0.954040334543962
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,3791,1726.77718964902,0.882158219036421,-3,0.742759626158202
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,4003,2201.01633728899,0.884894623502726,28,0.633549355431664
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,3363,576.50742397867,0.889332701197108,-7,0.721632549672042
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,3687,1092.31501778805,0.881249497301797,-12,0.430339147676744
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,3796,1337.38088056594,0.894017308695516,-9,0.792435701294948
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,3540,188.820971104059,0.882439858157674,19,0.614875362589546
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,3540,305.376526659615,0.882439858157674,-4,0.614875362589546
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,3940,1653.75300916404,0.893778823728062,-34,0.781158164733691
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,3859,1907.46295722251,0.879722375913099,15,0.575014959596013
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,3235,686.944632633448,0.879263565686733,-13,0.584974373979857
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,2815,233.122732822733,0.883458038128011,9,0.68523934572572
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,4099,1066.35322039072,0.89319779017699,18,0.591986040871387
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,4225,2172.52385808636,0.898362094487997,-11,0.870272232779717
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,4052,1000.18946274314,0.903923072831359,4,0.954917447833071
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,3067,417.125161826478,0.887423561726233,44,0.411924795236483
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,2935,488.701974852633,0.881975268120566,-5,0.625667978968561
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,2834,268.681647806217,0.871788716325005,7,0.518714914570415
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,2834,320.681647806217,0.871788716325005,-1,0.518714914570415
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,3790,1593.45117973272,0.889796203137232,-7,0.625415733678383
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,3514,820.614694412914,0.891486059001549,-7,0.754497037600108
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,2591,28.2154761904762,0.899014407670872,18,0.497452395714727
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,3436,1136.49620354061,0.87837496668864,-28,0.570359547280264
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,2881,130.803753088157,0.901609604086322,23,0.948090353219115
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,3860,406.49811993562,0.901754291864677,-2,0.989396255217783
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,3242,299.790326084734,0.904039566518517,-12,0.901560325768306
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,3317,1454.93625232911,0.877162913088951,16,0.822919713313859
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,4174,2184.30535401183,0.895582874345651,16,0.808214616572087
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,2437,54.8227564102564,0.891064686039678,45,0.575384790833528
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,3444,333.485349780938,0.888340045870362,-19,0.702060115805815
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,2281,77.5534854034854,0.885957098144735,24,0.704369274408278
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,2794,59.2473479135244,0.899064298334584,-7,0.977363917060895
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,3644,471.678700466201,0.902311120578718,-4,0.977332584981075
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,2437,56.6977564102564,0.891064686039678,-12,0.575384790833528
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,2681,587.059072647457,0.89809940111228,0,0.955151991726562
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,3444,341.985349780938,0.888340045870362,7,0.702060115805815
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,1081,12.370115995116,0.862482925844606,-1,0.321572081417461
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,2286,159.980408480409,0.893942088996165,9,0.54231743903072
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,3387,1104.4591093547,0.884577888688741,-9,0.647384514182771
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,3303,771.631277056277,0.875726660448494,2,0.546061160412217
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,3807,1121.56352646536,0.884317683275761,-18,0.631544627912463
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,3654,404.942465705537,0.889644050902361,-4,0.623571559840932
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,3001,185.182821182086,0.885023916139385,15,0.667659582521825
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,2922,561.941504165769,0.883927315687322,-3,0.681578941475348
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,3654,475.109132372204,0.889644050902361,-6,0.623571559840932
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,3995,975.02546603723,0.891513726892509,-16,0.735841669511065
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,3578,798.197740065233,0.879054364386538,-10,0.574380209548694
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,3995,1046.8921327039,0.891513726892509,9,0.735841669511065
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,2799,105.962698412698,0.901264089753982,24,0.953095870326759
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,3396,335.284708652201,0.90304121995128,-5,0.938853566388368
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,2886,38.4293303918304,0.892976480323713,4,0.565304968536649
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,2636,140.157081807082,0.890435373591671,13,0.770938841432458
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,3209,210.169404614993,0.886538999574645,2,0.681633652166297
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,3014,207.053686080002,0.883740461181155,-2,0.646998603095912
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,3333,351.063000621669,0.895081362068791,-14,0.83785322349309
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,3273,475.309195379784,0.886867584978247,19,0.649684924905348
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,3209,200.933293503882,0.886538999574645,3,0.681633652166297
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,2914,267.844912726163,0.881290429897771,11,0.724337235921552
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,3479,745.839575722284,0.888574081233544,13,0.632572346545425
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,3989,1987.8547146481,0.880530574182128,-33,0.782284439254607
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,3337,171.580168442668,0.88281191793999,8,0.714019082683113
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,3441,488.803608379924,0.893609874730418,-25,0.571405133160121
7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,2917,167.248608336108,0.888292016788256,4,0.720383274959188
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,3337,296.080168442668,0.88281191793999,5,0.714019082683113
7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,3608,1245.9117136948,0.875649976259732,-17,0.538874723261184
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,4256,2055.96455935705,0.894064988885031,6,0.773176846490838
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,3885,601.29934646322,0.902351866332245,-5,0.992805957915809
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,3153,422.211736874237,0.888226465918824,-17,0.710604483666183
8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,3383,531.790789437171,0.877394529838736,25,0.561200970841064
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,3718,2412.46688202149,0.881030081611325,-5,0.59321464582057
8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,2677,627.304904246081,0.860032605066596,15,0.590063217270489
6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,3676,2166.61268049761,0.875932542894902,-8,0.54017378275207
8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,3320,296.050216737286,0.895392334209359,12,0.845800472986114
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,2321,81.5172290128172,0.896815983227259,21,0.940243960030798
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,2321,118.417229012817,0.896815983227259,-4,0.940243960030798
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,3163,234.728475690976,0.893519856022036,9,0.565916619604292
7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,3114,145.300627558716,0.885007508118719,-4,0.67153850339874
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,3531,261.116524541439,0.889842303053006,-25,0.724137319189011
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,3078,102.07189962815,0.88995819587681,19,0.743707561863091
7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,3904,1513.88389163726,0.885461852113774,-3,0.644101422616464
7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,4392,2620.68299595571,0.897671752751717,-5,0.844684229304518
7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,4404,2118.38539818025,0.901003595785948,9,0.930600465596698
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,3531,356.672080096994,0.889842303053006,-7,0.724137319189011
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,3078,175.450687506937,0.88995819587681,-1,0.743707561863091
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,2531,231.388852813853,0.890089360277336,-11,0.588590238790672
6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,3319,817.69321457696,0.874049806751256,8,0.529692848095975
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,2531,304.904527417027,0.890089360277336,1,0.588590238790672
8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,3316,401.605171054436,0.894066283484317,-25,0.815748503402213
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,3784,1813.45864988769,0.896873775150248,-1,0.857171423249732
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,2723,164.104736929737,0.891520885316383,23,0.788971642678227
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,3359,1110.08177696487,0.882702759261915,4,0.71667378944901
8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,3230,833.91671216855,0.885203984462545,-2,0.672363910769253
7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,3366,1257.60041568768,0.881012530607556,13,0.746854576196804
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,1938,12.0964285714286,0.89512542117161,20,0.478019554775389
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,3305,206.677606625401,0.896039612568905,-18,0.862191881364324
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,3305,309.891892339686,0.896039612568905,4,0.862191881364324
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,2976,53.113167796256,0.886825214938309,11,0.69402006340343
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,2976,73.113167796256,0.886825214938309,-2,0.69402006340343
7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,2976,60.113167796256,0.886825214938309,0,0.69402006340343
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,2976,118.168723351811,0.886825214938309,0,0.69402006340343
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,3516,2206.61296495473,0.879664656779754,-15,0.58262160040002
6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,3912,915.745904503993,0.895960448197077,2,0.557416806951265
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,3630,1683.9125884414,0.880671888123556,7,0.591275663886072
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,2673,344.35516983017,0.875527723712542,-4,0.358080854451953
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,4303,2812.79519813262,0.894068158360786,-14,0.587072576371131
7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,2885,70.4179292929293,0.902771073929499,9,0.915024977271786
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,3071,195.359893292981,0.900523728878243,4,0.994811862476948
7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,3302,339.675282478959,0.890402813974294,-6,0.742948458255942
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,3630,1052.06700268686,0.895039978498959,16,0.822228159238923
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,3065,475.935069097569,0.89479271093203,-14,0.457909328102994
6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,3431,600.800432737197,0.885636351096091,18,0.672421981540797
7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5,3278,1051.1531077618,0.90850181986493,2,0.797359208977365
7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,2194,117.744804245462,0.874093884900216,1,0.356417387878712
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,3527,818.297242953125,0.872660734103483,-18,0.951238935203203
8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,3527,1121.79926315515,0.872660734103483,4,0.951238935203203
7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,3988,1516.62175642984,0.888999995939235,-5,0.641682533602953
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,4011,1013.95622122545,0.885597128222591,2,0.642774229098974
6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,3479,412.417707445204,0.900172928593983,7,0.965566596684311
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,4011,896.567242557064,0.885597128222591,-3,0.642774229098974
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,3123,90.3111832611832,0.896098546049414,16,0.539032939818396
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,3572,2002.73577668602,0.873244763360138,10,0.517421880059564
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,3226,397.610784476961,0.882333248765881,-7,0.622146658186422
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,3226,331.402451143628,0.882333248765881,1,0.622146658186422
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,2856,185.000162337662,0.893590892239249,1,0.827419854701436
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,4548,3466.93974699168,0.899970913689155,-24,0.893613581764758
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,3611,880.669982283798,0.893936581675747,-13,0.799152565424756
6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,3372,327.075876900877,0.895892238353189,11,0.54630335185457
8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,3243,732.576934176934,0.880558231522537,-24,0.5997917877341
7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,4046,1411.83071052399,0.89693406694356,16,0.844997489854802
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,3674,1026.52256701632,0.89457623588719,15,0.809914940814876
7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,4041,470.192693823635,0.894978174392746,1,0.801446325306969
7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,4041,657.289842946441,0.894978174392746,0,0.801446325306969
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,3527,357.453125499372,0.895064928491466,9,0.827820572182607
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,3496,666.239022089022,0.887086926370379,-7,0.653399502729279
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,3168,221.325069302043,0.897966364810047,5,0.920556479160464
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,3746,1019.24549347453,0.877338563779477,-1,0.552549650085507
