"a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","a31","a32","a33","a34","a35","a36","a37","a38","a39","label","degree","betweenness","clustering.coefficient","bonacich","weight"
"X352","HANOVRHOUSE",35539,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",1911,50,50,0.367,14,80,0.75,40,10.5,1700,52.6,36.8,0,0,2.5,1,38,40,105,100,1,9158,26.3333333333333,1,147,0.603633755778943
"X67","HANOVRHOUS",35539,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","NORTHUS",1911,50,50,0.3,15,70,1,30,10,1600,50,40,0,0,2.8,1,38,40,106.66,100,1,9200,115.75,1,34,0.77419204062058
"X817","GUIDEPOSTS",23052,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","NORTHUS",1911,40,45,0.3,14.5,70,0.625,25,0,1500,59.5,40.5,0,0,2,1,40,40,100,100,1,9756,199.916666666667,1,44,0.955721847797855
"X273","HANOVRHOUS",35539,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","NORTHUS",1911,50,43,0.267,16,75,1,20,15.8,1600,49.5,34.7,0,0,2.5,1,38,40,103.22,100,0,9383,6.33333333333333,1,-573,0.82157904300168
"F108","MODMAT",47201,NA,"KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER70",813,9,"CATALOG","NORTHUS",1911,NA,45,0.233,15,87,1,NA,0,1400,62.5,37.5,0,0,2.5,1,40,40,103.22,100,1,8353,0.5,1,211,0.620606573976756
"F237","HOMESHOP",38064,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER70",813,5,"CATALOG","CANADIAN",1911,30,45,0.2,14,65,NA,NA,0,1600,62.5,37.5,0,0,2.5,0.8,33,40,100,100,0,8498,1,1,-184,0.733573655916501
"F267","HOMESHOP",38064,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER70",813,1,"CATALOG","CANADIAN",1911,30,45,0.2,15.5,65,NA,NA,5.9,1600,58.8,35.3,0,0,2.5,1.8,33,40,100,100,0,8246,1,1,600,0.708665631666965
"S21","USCAV",35521,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,5,"CATALOG","CANADIAN",1910,60,38,0.267,16.4,64,0.75,NA,11,1400,54.9,34.1,0,0,2.5,1,32,40,103.22,100,0,8786,5,1,-150,0.754651197066616
"F492","USCAV",35521,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","CANADIAN",1911,60,38,0.333,16.5,66,0.75,NA,6.7,1400,56.2,37.1,0,0,1.1,1.4,32,40,103.22,100,0,7786,0,1,-59,0.669168375129151
"X799","COLORTIL",37571,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","NAPTHA","NO","MOTTER94",824,2,"TABLOID","CANADIAN",1911,50,45,0.233,16,70,0.8125,30,0,2400,58.8,41.2,0,0,1.7,1,30,40,107.4,100,0,8491,37.5,1,-296,0.659300424639715
"X823","COLORTIL",35751,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","NAPTHA","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1911,40,45,0.2,15,76,0.8125,30,0,2400,62.5,37.5,0,0,1,1,30,40,107.4,100,0,8668,2,1,316,0.749042220850977
"X163","WARDS",37340,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,2,"TABLOID","CANADIAN",1911,30,43,0.2,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4,0,2,1,30,40,96.875,100,0,8889,3,1,-304,0.770897014473325
"O4","TARGET",35816,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,2,"SPIEGEL","CANADIAN",1911,40,41,0.2,15.8,72,1,30,0,2000,62.5,37.5,0,0,2.5,1,30,40,107.4,100,1,9363,47,1,37,0.621345125786333
"E84","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SCANDANAVIAN",1911,40,42,0.2,14.5,74,1,25,8,2100,57.5,34.5,0,0,2.3,0.7,35,40,107.4,100,1,9050,29.5,1,62,0.616184115222282
"E81","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SCANDANAVIAN",1911,45,42,0.2,14,70,1,20,8,1850,57.5,34.5,0,0,2,0.7,35,40,107.4,100,1,9084,31,1,-12,0.616105120693049
"E72","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SCANDANAVIAN",1911,50,45,0.3,15,76,1,30,8,2150,57.5,34.5,0,0,2.5,1,35,40,107.4,100,0,9165,22.1666666666667,1,174,0.754912646759409
"E310","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SCANDANAVIAN",1911,50,45,0.3,15.2,72,1,25,5.9,2150,58.8,35.3,0,0,2.5,1,35,40,107.4,100,0,9236,10,1,-386,0.793391980650945
"X29","WOOLWORTH",37080,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",828,2,"TABLOID","CANADIAN",1911,35,42,NA,15,75,0.75,30,0,2100,58.8,41.2,0,0,2,0.8,30,40,107.4,100,1,9231,12,1,296,0.577935640384762
"X292","AMES",37157,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",828,2,"TABLOID","CANADIAN",1910,30,45,0.233,17,70,0.75,35,0,2200,58.8,41.2,0,0,2.5,1,33,40,106.45,100,1,9440,75,1,-2,0.66345299205985
"J9","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,2,"TABLOID","NORTHUS",1911,37.5,44,0.2,16,90,0.75,28,20,2050,45,35,0,0,2.4,0.8,35,40,107.4,100,0,9703,16,1,56,0.835669559553833
"J582","KMART",37352,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"TABLOID","NORTHUS",1911,37.5,44,0.2,16.5,91,0.75,30,21.7,2050,43.5,34.8,0,0,2.7,0.8,35,40,107.4,100,0,9544,3,1,-122,0.852766369674819
"X141","TVGUIDE",25507,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID",NA,1911,45,44,0.267,14.1,78,0.625,22,7.6,1510,54.3,38,0,0,2.5,0.7,34,40,114.28,100,0,9363,3,1,514,0.828453815656468
"X818","TVGUIDE",25507,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID",NA,1910,40,44,0.2,14,69,0.625,20,8.5,1510,53.2,38.3,2,0,2.5,0.9,34,40,110,100,0,9069,3.5,1,-532,0.790481366465335
"V376","WOOLWRTH",37080,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",828,2,"TABLOID",NA,1911,40,47,0.333,17,78,0.75,35,0,2400,58.8,41.2,4,0,2.5,1,30,40,100,100,1,8820,67.5,1,-225,0.70389506680954
"M254","ABBYPRESS",27490,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG",NA,1911,30,42,0.2,15.4,64,0.875,NA,0,1425,63,37,0,0,1,1.3,34,40,107.4,100,0,8152,0,1,-17,0.701850852292607
"R5","TARGET",35811,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","WOODHOE70",815,2,"SPIEGEL","CANADIAN",1910,45,38,NA,15,80,0.625,30,7,1600,58.1,34.9,0,0,2.5,1.5,30,40,103.22,100,1,8987,27.6666666666667,1,481,0.61783314368818
"J33","BELKS",35334,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,2,"TABLOID",NA,1911,40,43,0.267,16,96,1,28,0,1500,58.8,41.2,2,0,3,0.8,40,40,103.12,100,0,8914,2,1,421,0.776237249844055
"J43","BELKS",35334,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,9,"TABLOID","NORTHUS",1911,32.5,43,0.2,15,82,1,31,7.6,1500,54.3,38,4,0,2.5,1,40,40,103.12,100,0,8752,1,1,-890,0.760516261224141
"I357","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"CATALOG","NORTHUS",1911,37.5,44,0.3,15,85,0.75,34,0,1400,62.5,37.5,0,0,2.8,1,28,40,103.12,100,0,9594,26.5,1,387,0.792918137695904
"I353","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",815,2,"CATALOG","NORTHUS",1910,35,44,0.3,16,80,1,32,7,1400,58.1,34.9,0,0,3,1,28,40,103.12,100,0,9101,2,1,-490,0.798268477984441
"M254","ABBYPRESS",27490,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","NORTHUS",1911,30,42,0.2,15.4,64,0.875,NA,0,1425,61.7,38.3,0,0,1,1.3,34,40,107.4,100,0,8313,0,1,704,0.717260810163665
"X291","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1910,50,43,0.2,16,82,0.875,30,0,2270,55.6,44.4,12,0,2,1,30,40,103.22,100,0,9202,23,1,-214,0.75694641173145
"X129","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,2,"TABLOID","CANADIAN",1910,50,43,0.3,16.3,80,0.8125,30,0,2270,55.6,44.4,12,0,1.5,1.5,30,40,103.22,100,0,8721,10.8333333333333,1,133,0.734319837620787
"X297","JCPENNY",35794,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","NORTHUS",1911,60,43,0.267,15.8,57,0.75,24,1.2,1480,58.1,40.7,0,0,1.4,1.7,33,40,103.12,100,0,8933,2,1,-136,0.778420058868289
"X146","JCPENNY",35794,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","NORTHUS",1911,52.5,43,0.233,16.6,58,0.75,20,7.9,1480,56.2,36,0,0,1.7,0.7,33,40,103.12,100,0,8815,0,1,170,0.769972856505858
"X129","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,2,"TABLOID",NA,1910,50,43,0.3,17,87,0.8125,35,0,2300,58.8,41.2,0,0,1.3,0.7,30,40,103.22,100,0,8982,83,1,-471,0.619892962143147
"E303","CENPURCH",37441,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","CANADIAN",1911,25,38,0.2,13,75,0.625,25,0,1600,57.5,42.5,0,0,2.5,0.85,30,40,103.12,100,0,9435,6.5,1,-46,0.827830560310684
"E68","CENPURCH",37441,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","CANADIAN",1911,25,38,0.233,14,70,0.625,25,0,1600,58.8,41.2,5,0,1.7,0.9,30,40,103.12,100,0,8933,9.5,1,365,0.759915750431303
"J42","KMART",37354,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,9,"TABLOID","SCANDANAVIAN",1911,40,46,0.333,15.9,78,0.5,34,2.4,2000,61,36.6,0,0,2.4,1.3,35,40,103.22,100,0,8959,3,1,-230,0.778888422277777
"X53","BELK",35335,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","NORTHUS",1911,45,41,0.333,17,78,0.75,16,14.1,1100,50.5,35.4,0,0,2.5,1,50,40,96.97,100,1,8976,1,1,1084,0.578806489702353
"X821","BELK",37335,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","NORTHUS",1911,47.5,41,0.233,16.5,72,0.75,20,14.1,1300,50.5,35.4,4,0,2.5,1,50,40,96.97,100,1,8998,55.8333333333333,1,-1514,0.665260555677172
"X118","TOYSRUS",35870,"NO","KEY","NO","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",824,2,"TABLOID","CANADIAN",1910,40,46,0.2,15,68,0.75,28,0,1700,58.8,41.2,0,0,1,1,33,40,103.22,100,0,9044,7,1,367,0.7785715500369
"X826","TOYSRUS",35870,"NO","KEY","NO","BENTON","GALLATIN","COATED","COATED","NO","LINE","NO","MOTTER94",824,9,"TABLOID","CANADIAN",1911,40,46,0.267,16.5,68,0.875,25,0,1700,58.8,41.2,0,0,1,1,33,40,103.125,100,0,8444,7,1,-925,0.715060914087746
"R23","TARGET",35811,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","WOODHOE70",815,9,"SPIEGEL","CANADIAN",1911,40,35,0.233,18,85,0.625,30,0,2000,62.5,37.5,0,0,2.5,0.9,30,40,103.125,100,0,9430,4,1,570,0.834376292755522
"X291","ROSES",35752,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1910,50,43,0.2,17,84,NA,35,0,2300,55.6,44.4,0,0,2,0.8,30,40,103.22,100,0,9153,0,1,1303,0.810055905498329
"I354","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","ALBERT70",802,7,"CATALOG","NORTHUS",1911,35,38,0.4,12,62,0.75,46,4.7,1400,58.8,36.5,0,0,2,1,28,40,103.125,100,0,8758,0,1,-1181,0.763600935774554
"I358","SEARS",37869,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","ALBERT70",802,2,"CATALOG","NORTHUS",1911,35,38,0.433,16,70,0.75,50,0,1400,62.5,37.5,0,0,2.8,1.5,28,40,103.125,100,0,9207,20.5,1,1242,0.763522253481738
"X760","TVGUIDE",25509,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID","NORTHUS",1911,50,46,0.2,14.6,60,0.625,25,10.5,1750,52.6,36.8,2,0,2.4,0.8,28,40,96.97,100,1,9064,30.3333333333333,1,636,0.616493305749916
"E26","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1910,40,47,0.333,24.5,78,0.875,30,8.8,2100,54.9,36.3,16,0,2.3,1,40,40,100,100,1,8649,55,1,-784,0.694304436884087
"E84","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","NO","MOTTER94",827,9,"TABLOID","SOUTHUS",NA,40,47,0.35,14.43,76,0.75,16,7.2,2000,51.5,41.2,1,0,2.7,1.4,40,40,100,100,1,8294,0,1,210,0.624143945196383
"E69","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1910,40,39,0.233,15,77,0.75,20,9.4,2000,52.1,38.5,0,0,2.5,1,40,40,103.22,100,0,9666,7,1,67,0.857528651226102
"E77","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID","SOUTHUS",1910,40,39,0.2,15,79,0.75,20,11.8,2000,49,39.2,0,0,2.5,1,40,40,103.22,100,0,9662,17.5,1,-95,0.825970490012172
"E83","KMART",37386,NA,"KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1911,NA,43,0.267,14.2,68,0.75,18,0,2000,62.5,37.5,0,0,2.5,1.2,40,40,106.45,100,1,9062,52,1,-1593,0.653028225633252
"E67","KMART",37386,NA,"KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID","SOUTHUS",1910,NA,48,0.233,14,80,0.75,30,0,2000,62.5,37.5,0,0,NA,NA,40,40,109.67,100,1,8852,49.5,1,3472,0.665855606361266
"E83","KMART",27386,NA,"KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","NO","MOTTER94",827,2,"TABLOID","SOUTHUS",1911,NA,40,0.267,16.4,72,1,26,0,2000,62.5,37.5,0,0,2.5,1,40,40,106.45,100,1,8609,60.5,1,-4233,0.709348118608451
"X791","KMART",37386,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","SOUTHUS",1911,40,40,0.35,18.5,85,0.5625,30,0,1900,62.5,37.5,4,0,1.8,1.4,40,40,106.45,100,1,8861,34.8666666666667,1,4717,0.639152109586228
"E90","KMART",37254,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",821,7,"TABLOID",NA,1911,42.5,41,0.3,14,70,0.625,20,2.3,1750,57.5,40,4,0,2.5,0.7,35,40,96.97,100,0,9339,42.6666666666667,1,-6341,0.726175468808141
"X271","ECKERD",35457,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",828,9,"TABLOID","CANADIAN",1910,35,39,0.2,16.2,84,1,30,0,2100,62.5,37.5,4,0,2,0.9,30,40,94.117,100,0,9290,55.5,1,4438,0.6944825864247
"F308","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","COATED","UNCOATED","NO","LINE","YES","MOTTER70",813,9,"CATALOG","NORTHUS",1910,35,45,0.3,14.1,65,1,NA,0,1500,59.5,40.5,0,0,2.6,1,40,40,109.67,100,0,9263,6,1,-2523,0.807367200011274
"T281","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","XYLOL","YES","ALBERT70",802,2,"CATALOG","NORTHUS",1910,50,43,0.333,14.02,68,0.75,56,7.4,1800,53.2,39.4,0,0.5,3,1.3,40,40,109.67,100,0,8157,0,1,6101,0.702319453253949
"F067","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","WOODHOE70",816,2,"CATALOG","NORTHUS",1910,67.5,45,0.2,15.5,80,0.5,34,16.3,1683,43.5,40.2,6,0,2.5,1,40,40,109.67,100,0,9247,4,1,-7188,0.810836639987802
"X405","AMES",37163,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID","CANADIAN",1910,55,37,0.267,16,75,0.625,20,5.6,1850,55.6,38.9,0,0,0.8,0.75,33,40,109.67,100,0,9212,2,1,3895,0.811947451968444
"E91","KMART",37354,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",821,2,"TABLOID",NA,1911,42.5,41,0.2,14,80,0.625,20,7.4,1750,53.2,39.4,0,0,2.1,0.9,35,40,96.97,100,0,9737,59.5,1,3050,0.729067076513014
"F615","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","NORTHUS",1910,52.5,45,0.2,15.3,72,0.75,NA,12.4,1600,51.5,36.1,0,0,2.5,1,40,40,109.67,100,0,9077,5,1,-16,0.787533476800676
"F510","MODMAT",47202,"NO","KEY","YES","BENTON","GALLATIN","COATED","UNCOATED","NO","LINE","YES","MOTTER70",813,10,"CATALOG","NORTHUS",1910,35,45,0.2,15.2,63,1,NA,0,1500,59.5,40.5,0,0,2.3,0.9,40,40,109.67,100,0,9157,2,1,-2833,0.805111479997799
"F670","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,5,"CATALOG","NORTHUS",1910,52.5,45,0.233,16,68,0.75,NA,0,1600,58.8,41.2,4,0,2.3,0.8,40,40,109.67,100,0,9059,4,1,5220,0.787998013672739
"E310","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","WOODHOE70",816,9,"TABLOID",NA,1910,49,43,0.35,14.5,74,0.75,23,9.1,1900,56.8,34.1,2,0,0.7,0.2,35,40,103.22,100,1,8315,1.5,1,-11909,0.625027001282976
"F670","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,5,"CATALOG","NORTHUS",1910,52.5,37,0.233,14,73,0.75,NA,9.6,1600,53.2,37.2,0,0,2.3,1,40,40,109.67,100,0,8891,1.33333333333333,1,5266,0.775278939847742
"M402","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,9,"CATALOG","NORTHUS",1910,52.5,43,0.267,15.1,76,0.5,31,6.6,1650,54.9,38.5,0,0,2.5,1.5,40,40,109.67,100,0,8945,0,1,-8075,0.784910866676692
"X18","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",828,9,"TABLOID","SCANDANAVIAN",1910,40,44,0.2,16.1,78,0.9375,30,5.6,1800,55.6,38.9,0,0,2,1,35,40,103.22,100,0,9491,7,1,16902,0.83373993884599
"F615","MODMAT",47202,"YES","KEY","YES","BENTON","GALLATIN","UNCOATED","UNCOATED","NO","LINE","YES","MOTTER70",813,1,"CATALOG","NORTHUS",NA,52.5,37,0.2,15,66,0.75,NA,13.3,1600,55.6,42.2,0,0,2.4,0.8,40,40,100,100,0,8751,0,1,-17259,0.762825682802724
"F310","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,2,"TABLOID",NA,1910,40,43,0.35,16.5,72,0.625,20,9.1,2000,56.8,34.1,4,0,2.5,0.5,35,40,103.22,100,0,9164,8,1,13620,0.79004003811238
"F72","KMART",37355,"NO","KEY","YES","BENTON","GALLATIN","UNCOATED","COATED","NO","LINE","YES","MOTTER94",827,9,"TABLOID",NA,1910,40,43,0.35,16.1,70,0.625,20,11.1,2000,55.6,33.3,4,0,1.8,0.9,35,40,103.22,100,0,9252,0,1,-34006,0.822598627861694
"X308","ROSES",35753,"NO","KEY","YES","BENTON","GALLATIN","COATED","COATED","NO","LINE","YES","MOTTER94",824,9,"TABLOID","CANADIAN",1910,40,43,0.267,16,80,0.5625,30,5.6,1900,55.6,38.9,0,0,2.2,1.3,30,40,103.22,100,0,9688,17.3333333333333,1,44253,0.829835274065816
